,song_id,duration_mins,popularity,danceability,energy,acousticness,valence,tempo,song,performer,peak_position,year,total_charting_weeks,top10
979,Pretty WingsMaxwell,5.175333333333334,60.0,56.3,40.2,25.2,20.0,115.561,Pretty Wings,Maxwell,33.0,2009,23.0,False
980,Come Back SongDarius Rucker,3.9191,60.0,51.6,74.5,13.8,77.0,177.781,Come Back Song,Darius Rucker,37.0,2010,20.0,False
981,Anything Like MeBrad Paisley,4.469766666666667,48.0,54.50000000000001,52.2,42.199999999999996,44.6,164.869,Anything Like Me,Brad Paisley,48.0,2010,19.0,False
982,teachmeMusiq Soulchild,4.333616666666667,57.0,49.9,61.0,47.3,43.6,172.969,teachme,Musiq Soulchild,42.0,2007,20.0,False
983,Baggage ClaimMiranda Lambert,3.2924333333333333,44.0,70.1,93.4,6.569999999999999,96.39999999999999,81.0,Baggage Claim,Miranda Lambert,44.0,2011,20.0,False
984,Small Town USAJustin Moore,3.64755,59.0,59.3,60.099999999999994,12.2,53.1,131.929,Small Town USA,Justin Moore,44.0,2009,20.0,False
985,About The MoneyT.I. Featuring Young Thug,4.502,61.0,81.0,72.1,4.87,55.2,101.997,About The Money,T.I. Featuring Young Thug,42.0,2014,20.0,False
986,The A TeamEd Sheeran,4.306216666666667,77.0,64.2,28.9,66.9,40.699999999999996,84.996,The A Team,Ed Sheeran,16.0,2013,33.0,False
987,Bust Your WindowsJazmine Sullivan,4.438433333333333,67.0,68.30000000000001,66.4,53.800000000000004,86.6,106.991,Bust Your Windows,Jazmine Sullivan,31.0,2008,15.0,False
988,Skin (Sarabeth)Rascal Flatts,4.354433333333334,42.0,48.699999999999996,31.1,41.199999999999996,25.2,139.878,Skin (Sarabeth),Rascal Flatts,42.0,2005,17.0,False
989,Do It Like MeDLOW,2.433333333333333,50.0,88.3,85.0,30.8,71.1,150.138,Do It Like Me,DLOW,45.0,2015,5.0,False
990,ShiftworkKenny Chesney Duet With George Strait,4.491766666666667,40.0,84.7,57.599999999999994,9.22,88.2,128.992,Shiftwork,Kenny Chesney Duet With George Strait,47.0,2008,16.0,False
991,Back UpDeJ Loaf Featuring Big Sean,4.0211,69.0,81.6,53.5,14.7,43.5,80.012,Back Up,DeJ Loaf Featuring Big Sean,47.0,2015,10.0,False
992,Tell MeDiddy Featuring Christina Aguilera,4.102433333333333,51.0,54.800000000000004,93.8,23.5,33.4,98.868,Tell Me,Diddy Featuring Christina Aguilera,47.0,2006,20.0,False
993,Perfect SituationWeezer,4.238883333333333,56.0,47.0,80.60000000000001,2.71,40.300000000000004,93.853,Perfect Situation,Weezer,51.0,2006,17.0,False
994,A Little Too LateToby Keith,4.134,40.0,40.8,75.2,18.8,60.4,201.713,A Little Too Late,Toby Keith,53.0,2006,15.0,False
995,Pirate FlagKenny Chesney,3.7571,57.0,55.900000000000006,79.5,7.870000000000001,55.300000000000004,160.039,Pirate Flag,Kenny Chesney,46.0,2013,18.0,False
996,Somebody's HeroJamie O'Neal,3.6904166666666667,41.0,49.3,73.5,7.71,62.6,164.059,Somebody's Hero,Jamie O'Neal,51.0,2005,17.0,False
997,California King BedRihanna,4.193333333333333,60.0,46.9,61.6,24.6,34.1,169.878,California King Bed,Rihanna,37.0,2011,14.0,False
998,Beez In The TrapNicki Minaj Featuring 2 Chainz,4.4748833333333335,61.0,81.39999999999999,78.2,2.27,68.30000000000001,150.011,Beez In The Trap,Nicki Minaj Featuring 2 Chainz,48.0,2012,20.0,False
999,Crazy TownJason Aldean,3.0573333333333332,53.0,43.0,84.1,13.0,48.9,180.977,Crazy Town,Jason Aldean,51.0,2010,17.0,False
1000,Tell MeBobby Valentino,4.334433333333333,54.0,65.2,79.80000000000001,44.0,53.1,95.038,Tell Me,Bobby Valentino,51.0,2005,14.0,False
1001,Right Here (Departed)Brandy,3.632433333333333,52.0,56.8,68.2,25.6,36.6,92.99,Right Here (Departed),Brandy,34.0,2008,18.0,False
1002,Put A Girl In ItBrooks & Dunn,3.4646666666666666,42.0,58.9,95.3,3.2800000000000002,77.2,119.967,Put A Girl In It,Brooks & Dunn,54.0,2008,13.0,False
1003,Save It For A Rainy DayKenny Chesney,3.0368833333333334,59.0,53.800000000000004,77.5,0.53,61.4,154.889,Save It For A Rainy Day,Kenny Chesney,54.0,2015,17.0,False
1004,Probably Wouldn't Be This WayLeAnn Rimes,3.632433333333333,45.0,61.3,42.6,51.6,12.9,129.644,Probably Wouldn't Be This Way,LeAnn Rimes,54.0,2005,14.0,False
1005,Cleaning This Gun (Come On In Boy)Rodney Atkins,3.7802166666666666,60.0,51.4,79.80000000000001,6.12,67.7,145.995,Cleaning This Gun (Come On In Boy),Rodney Atkins,40.0,2008,20.0,False
1006,Red LightDavid Nail,4.10555,52.0,38.6,80.2,10.100000000000001,42.8,163.907,Red Light,David Nail,54.0,2009,16.0,False
1007,Southern GirlTim McGraw,4.258,53.0,73.5,77.2,4.12,92.4,110.032,Southern Girl,Tim McGraw,42.0,2013,20.0,False
1008,PlanezJeremih Featuring J. Cole,4.005333333333334,73.0,65.0,55.7,67.4,40.0,129.285,Planez,Jeremih Featuring J. Cole,44.0,2015,20.0,False
1009,Sex TherapyRobin Thicke,4.585766666666666,50.0,69.19999999999999,52.1,67.9,37.3,112.024,Sex Therapy,Robin Thicke,54.0,2010,19.0,False
1010,AnimalNeon Trees,3.5382166666666666,70.0,48.6,83.1,0.0392,80.0,148.026,Animal,Neon Trees,13.0,2010,36.0,False
1011,Do You Believe Me NowJimmy Wayne,3.406433333333333,41.0,48.9,86.4,5.8999999999999995,42.5,161.849,Do You Believe Me Now,Jimmy Wayne,36.0,2008,20.0,False
1012,Summer NightsLil Rob,4.486,59.0,47.199999999999996,67.2,35.8,39.2,81.813,Summer Nights,Lil Rob,36.0,2005,14.0,False
1013,All About TonightBlake Shelton,3.4268833333333335,47.0,67.4,94.3,1.59,85.6,118.06,All About Tonight,Blake Shelton,37.0,2010,19.0,False
1014,SwingSavage Featuring Soulja Boy Tell'em,3.63155,57.0,88.6,47.4,2.16,82.5,150.068,Swing,Savage Featuring Soulja Boy Tell'em,45.0,2008,20.0,False
1015,So FlySlim Featuring Yung Joc,3.5408833333333334,38.0,78.4,55.900000000000006,0.21,69.8,90.994,So Fly,Slim Featuring Yung Joc,49.0,2008,15.0,False
1016,Alone With YouJake Owen,3.5162166666666668,53.0,64.60000000000001,76.1,22.1,33.6,108.999,Alone With You,Jake Owen,41.0,2012,20.0,False
1017,Aw NawChris Young,3.1451,61.0,65.2,85.9,6.39,49.1,109.971,Aw Naw,Chris Young,45.0,2013,20.0,False
1018,Big Blue NoteToby Keith,2.951766666666667,37.0,74.6,69.69999999999999,41.0,74.8,115.252,Big Blue Note,Toby Keith,55.0,2005,12.0,False
1019,Boots OnRandy Houser,2.8468833333333334,56.0,71.2,89.0,5.58,85.3,112.033,Boots On,Randy Houser,53.0,2009,19.0,False
1020,RewindRascal Flatts,3.391766666666667,55.0,54.900000000000006,69.8,2.22,71.89999999999999,164.049,Rewind,Rascal Flatts,38.0,2014,20.0,False
1021,CommasFuture,3.9566666666666666,70.0,87.4,56.8,6.98,46.0,139.995,Commas,Future,55.0,2015,20.0,False
1022,Second ChanceShinedown,3.7011,68.0,46.0,79.60000000000001,0.107,18.2,100.011,Second Chance,Shinedown,7.0,2009,41.0,True
1023,She Won't Be Lonely LongClay Walker,3.48755,66.0,63.5,75.8,0.643,32.2,113.002,She Won't Be Lonely Long,Clay Walker,53.0,2010,18.0,False
1024,Country BoyAlan Jackson,4.101333333333334,61.0,73.0,68.4,25.900000000000002,56.39999999999999,139.037,Country Boy,Alan Jackson,49.0,2009,19.0,False
1025,Come Back To MeVanessa Hudgens,2.7811,48.0,63.4,85.6,0.0812,72.3,88.05,Come Back To Me,Vanessa Hudgens,55.0,2006,19.0,False
